id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,has_missing_data,orbital_stability_index,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,approach_month,approach_day,close_approach_date,close_approach_date_display,size_uncertainty
54518883,(2025 CX1),24.67,0.0309424699,0.069189466,False,8.3786699072,7594948.802942964,Earth,False,1.1031897810757266e-06,0.03824699610000001,0.008257810221231386,4.857246462415701,0.8984142414005487,3,15,2025-03-15,2025-03-15,2.2360679746512417
54520532,(2025 DV4),25.503,0.0210840956,0.047145471,False,6.990748969,6898096.253488472,Earth,False,1.0134316356436275e-06,0.0260613754,0.00674397996681949,2.3040260947914133,0.90773494871603,3,15,2025-03-15,2025-03-15,2.2360679772292436
54520924,(2025 DW14),23.274,0.0588511531,0.1315951789,False,20.919314717,14792839.801262703,Earth,False,1.4141513730997308e-06,0.0727440258,0.00629060658440497,57.588383236092724,0.802139304419125,3,15,2025-03-15,2025-03-15,2.23606797774027
54521612,(2025 DW24),24.21,0.0382432662,0.0855145429,False,9.6464191765,8690886.567194069,Earth,False,1.1099465056778936e-06,0.0472712767,0.008864900159877476,7.957419216741317,0.8837555949701613,3,15,2025-03-15,2025-03-15,2.236067977373753
54521717,(2025 DO27),24.704,0.0304617589,0.0681145636,False,15.2540679091,6601787.36342501,Earth,False,2.310596671684709e-06,0.0376528047,0.004465337640156003,15.84934538189681,0.9116982095829358,3,15,2025-03-15,2025-03-15,2.2360679770201974
54521725,(2025 DU29),24.335,0.0361039714,0.0807309343,False,15.2870035142,19952592.21494739,Earth,False,7.661662880449094e-07,0.044626962900000004,0.005281017579737556,18.866211962137303,0.7331253615040124,3,15,2025-03-15,2025-03-15,2.2360679772752095
54522865,(2025 EG2),24.589,0.0321184794,0.0718191034,False,11.5783376188,7439224.062418392,Earth,False,1.5563904947145842e-06,0.039700624000000004,0.006202885575161131,9.627918326396552,0.9004971278438071,3,15,2025-03-15,2025-03-15,2.2360679814748643
54522922,(2025 EV2),22.685,0.0771889222,0.1725996771,False,18.4051738303,27869076.507013194,Earth,False,6.604156339973582e-07,0.09541075489999999,0.009377780329129694,58.468213752174634,0.6272389252533132,3,15,2025-03-15,2025-03-15,2.236067976863136
54523490,(2025 EF4),24.655,0.0311569528,0.0696690645,False,5.853219863,458820.930829295,Earth,False,1.2757089900891419e-05,0.038512111700000004,0.01190269050721972,2.3868748828099413,0.9938630695836238,3,15,2025-03-15,2025-03-15,2.2360679796645586
2325102,325102 (2008 EY5),20.17,0.2457847746,0.5495914639,False,30.1770124086,69739452.48849533,Earth,False,4.327107731965374e-07,0.3038066893,0.01821225562220913,500.48660860147334,0.06720435263381794,3,16,2025-03-16,2025-03-16,2.2360679777436467
